Place,CA Places Key,INTPTLAT,INTPTLON,GEOID (from CA Places Key),County,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distributor,Manufacturer,Cultivation,Testing,Limit Explanations,Notes,Updated,Are all CCA activites prohibited?,Is all retail prohibited?,CCA Prohibited by County,Unincorporated Population,City Population
San Jacinto,San Jacinto,33.7951219,-116.9919568,667112,Riverside,Riverside County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Allowed,,Non-storefront: Silent,2022-01-22,No,No,,,48
Placerville,Placerville,38.7304688,-120.7969650,657540,El Dorado,El Dorado County,City,Allowed,Allowed,Allowed,Prohibited,Prohibited,Allowed,,,2022-01-22,No,No,,,10
Lancaster,Lancaster,34.6935580,-118.1753054,640130,Los Angeles,Los Angeles County,City,Allowed,Limited,Allowed,Allowed,Allowed,Allowed,Retail (Non-storefront): Delivery from storefront retail only,Micro: Silent,2022-01-22,No,No,,,161
Hemet,Hemet,33.7353163,-116.9944744,633182,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,83
Adelanto,Adelanto,34.5809017,-117.4394577,600296,San Bernardino,San Bernardino County,City,Limited,Limited,Allowed,Allowed,Allowed,Allowed,Retail (all): pre-existing businesses only,,2022-01-22,No,No,,,35
Needles,Needles,34.8135697,-114.6253021,650734,San Bernardino,San Bernardino County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,5
Moreno Valley,Moreno Valley,33.9232527,-117.2056845,649270,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,207
Unincorporated Mono County,,,,,Mono,Mono County,County,Allowed,Prohibited,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,13,
Unincorporated San Diego County,,,,,San Diego,San Diego County,County,Allowed,Prohibited,Allowed,Allowed,Allowed,Prohibited,,Testing: Silent,2022-01-22,No,No,No,3,
Modesto,Modesto,37.6375332,-121.0030494,648354,Stanislaus,Stanislaus County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,215
Banning,Banning,33.9460305,-116.8991871,603820,Riverside,Riverside County,City,Allowed,Prohibited,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Non-storefront: Silent,2022-01-22,No,No,,,31
Seaside,Seaside,36.6252150,-121.8238832,670742,Monterey,Monterey County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,34
Arcata,Arcata,40.8622906,-124.0749668,602476,Humboldt,Humboldt County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,18
Unincorporated Humboldt County,,,,,Humboldt,Humboldt County,County,Allowed,Limited,Allowed,Allowed,Allowed,Allowed,Retail (Non-storefront): Delivery by storefront only,,2022-01-22,No,No,No,136,
Encinitas,Encinitas,33.0506323,-117.2636163,622678,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Prohibited,,"Testing, Micro: Silent",2022-01-22,No,No,,,63
Shasta Lake,Shasta Lake,40.6765637,-122.3809091,671225,Shasta,Shasta County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,10
Maywood,Maywood,33.9885051,-118.1876662,646492,Los Angeles,Los Angeles County,City,Limited,Limited,Limited,Limited,Limited,Limited,Pre-existing licenses only,,2022-01-22,No,No,,,28
Lathrop,Lathrop,37.8152896,-121.3125155,640704,San Joaquin,San Joaquin County,City,Limited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Retail (Storefront):  Limit 1 licensee,,2022-01-22,No,No,,,24
Coalinga,Coalinga,36.1330557,-120.3390286,614274,Fresno,Fresno County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,16
Hanford,Hanford,36.3259567,-119.6538807,631960,Kings,Kings County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,58
Turlock,Turlock,37.5045611,-120.8569962,680812,Stanislaus,Stanislaus County,City,Allowed,Limited,Allowed,Allowed,Limited,Allowed,"Retail (Non-storefront): Delivery by storefront only
Cultivation: Indoor only",Micro: Silent,2022-01-22,No,No,,,74
Napa,Napa,38.2972195,-122.3011697,650258,Napa,Napa County,City,Limited-Medical Only,Limited-Medical Only,Prohibited,Allowed,Prohibited,Prohibited,,,2022-01-22,No,No,,,80
Barstow,Barstow,34.8667883,-117.0430058,604030,San Bernardino,San Bernardino County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,24
Unincorporated Del Norte County,,,,,Del Norte,Del Norte County,County,Allowed,Prohibited,Prohibited,Allowed,Allowed,Prohibited,,"Retail (Non-storefront), Distribution, Testing, Micro: Silent",2022-01-22,No,No,No,27,
Costa Mesa,Costa Mesa,33.6659055,-117.9123358,616532,Orange,Orange County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,,2022-01-22,No,No,,,115
Lake Elsinore,Lake Elsinore,33.6885202,-117.3428734,639486,Riverside,Riverside County,City,Allowed,Prohibited,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,63
South San Francisco,South San Francisco,37.6551037,-122.3762341,673262,San Mateo,San Mateo County,City,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,67
Riverbank,Riverbank,37.7256023,-120.9381351,661068,Stanislaus,Stanislaus County,City,Allowed,Allowed,Prohibited,Prohibited,Limited,Allowed,Cultivation: Indoor only,"Distribution, Manufacturing, Micro: Silent",2022-01-22,No,No,,,25
San Diego,San Diego,32.8152995,-117.1349930,666000,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,1
Unincorporated San Luis Obispo County,,,,,San Luis Obispo,San Luis Obispo County,County,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,No,280,
Yountville,Yountville,38.3955283,-122.3669157,686930,Napa,Napa County,City,Prohibited,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,2
Lompoc,Lompoc,34.6626889,-120.4708370,642524,Santa Barbara,Santa Barbara County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,43
Unincorporated Alameda County,,,,,Alameda,Alameda County,County,Allowed,Allowed,Limited,Limited,Allowed,Allowed,"Distribution and manufacturing: Cultivator or microbusiness only
",,2022-01-22,No,No,No,1,
Crescent City,Crescent City,41.7645143,-124.2007785,617022,Del Norte,Del Norte County,City,Allowed,Allowed,Allowed,Limited,Limited,Allowed,"Manufacturing: Non-volatile only
Cultivation: Indoor only",,2022-01-22,No,No,,,6
Guadalupe,Guadalupe,34.9616314,-120.5733774,631414,Santa Barbara,Santa Barbara County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,"Cultivation: Processor only
Microbusiness: No cultivation",,2022-01-22,No,No,,,7
San Jose,San Jose,37.2967394,-121.8189089,668000,Santa Clara,Santa Clara County,City,Limited,Limited,Allowed,Allowed,Limited,Allowed,"Pre-existing operators only, must have registered with city prior to Dec 18, 2015",,2022-01-22,No,No,,,1
Cudahy,Cudahy,33.9640029,-118.1825614,617498,Los Angeles,Los Angeles County,City,Prohibited,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,,,2022-01-22,No,No,,,24
Martinez,Martinez,37.9981228,-122.1144209,646114,Contra Costa,Contra Costa County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,Micro: Silent,2022-01-22,No,No,,,38
Point Arena,Point Arena,38.9123087,-123.6957623,657876,Mendocino,Mendocino County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,448
Clearlake,Clearlake,38.9600452,-122.6332316,613945,Lake,Lake County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,15
Fresno,Fresno,36.7836027,-119.7934453,627000,Fresno,Fresno County,City,Allowed,Limited,Allowed,Allowed,Limited,Allowed,"Retail (Non-storefront): Must be part of a storefront
Cultivation: Indoor only",,2022-01-22,No,No,,,538
Chico,Chico,39.7554055,-121.8183895,613014,Butte,Butte County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,,2022-01-22,No,No,,,92
Grover Beach,Grover Beach,35.1208877,-120.6196642,631393,San Luis Obispo,San Luis Obispo County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,13
